                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0375,                 4.8115,                 3.8535,                      0,                      0,                      0,                      0,                 5.6253,                 5.1021,                 4.2103,             0.00065185,             0.00065185,             0.00065185
                      2,                 2.8274,                 2.4403,                 2.1359,                 0.0011,                0.00884,                0.00056,                 0.0002,                 5.0906,                   4.49,                 3.6441,              0.0013055,              0.0013055,              0.0013055
                      3,                 2.4365,                 1.9528,                 1.6589,                0.24924,                0.22102,                0.13422,                0.04527,                 2.4342,                 2.7322,                   1.87,              0.0019459,              0.0019459,              0.0019459
                      4,                  2.285,                  1.721,                   1.51,                 0.4368,                0.37721,                0.33962,                0.13888,                 2.0905,                 1.8691,                 1.5543,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1103,                 1.5152,                  1.397,                0.55066,                0.41454,                0.42726,                0.17361,                 2.0247,                 2.4752,                 1.3839,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.0737,                 1.4518,                 1.3433,                0.52149,                0.21513,                0.21802,                0.09631,                 2.6718,                   2.77,                 1.8826,               0.001901,               0.001901,               0.001901
                      7,                 1.9666,                 1.3363,                 1.2835,                0.67542,                0.52739,                0.60913,                0.27122,                 1.8923,                  1.451,                 1.2891,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.9487,                  1.281,                 1.2614,                0.74954,                0.44303,                0.51726,                0.25227,                 1.8312,                 1.8328,                 1.3015,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.9382,                 1.2319,                 1.2585,                0.79167,                0.62181,                 0.7044,                0.32633,                 1.7154,                 1.1993,                 1.2087,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.9448,                 1.2309,                 1.2492,                0.70566,                0.55108,                0.60893,                0.22533,                 2.2558,                 1.6528,                 1.4491,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.866,                 1.1388,                 1.2239,                0.82654,                0.67485,                 0.7503,                 0.3571,                 1.7012,                  1.124,                 1.1885,               0.001802,               0.001802,               0.001802
                     12,                 1.8077,                 1.1286,                 1.2112,                 0.8183,                0.68271,                0.73678,                0.34859,                 1.6661,                 1.1318,                 1.1857,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.8274,                 1.1144,                  1.199,                0.67562,                0.48081,                0.52962,                0.22466,                 2.0569,                 1.6666,                 1.3906,              0.0017624,              0.0017624,              0.0017624
                     14,                   1.83,                 1.0966,                 1.2059,                0.83966,                0.63949,                0.73109,                0.34149,                 1.8116,                 1.2774,                 1.2614,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.8085,                  1.081,                 1.2006,                0.83684,                0.70825,                0.78357,                0.38169,                 1.6079,                 1.0269,                 1.1459,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7937,                 1.0544,                 1.1852,                0.87817,                0.72986,                0.81919,                0.39784,                 1.6082,                  1.036,                 1.1452,               0.001703,               0.001703,               0.001703
                     17,                 1.7511,                 1.0376,                 1.1935,                0.83673,                0.71415,                0.80652,                0.41077,                 1.6329,                0.97805,                 1.1623,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.7533,                 1.0145,                 1.1746,                0.86614,                0.70432,                0.80585,                0.38205,                 1.7095,                 1.0449,                  1.166,              0.0016634,              0.0016634,              0.0016634
